amount,new_payee,on_call,typing_pause,typing_variance,device_movement,transaction_hour,previous_transactions,fraud
17508.53,1,1,9.65,0.17,0.74,8,33,1
9143.53,0,0,5.79,0.85,0.18,8,13,0
39996.9,1,0,2.43,0.65,0.91,12,41,1
19683.01,1,0,3.83,0.49,0.34,22,62,0
25185.75,0,1,3.9,0.57,0.91,18,38,0
5933.21,1,0,3.42,0.18,0.8,0,93,0
44705.24,1,0,3.19,0.29,0.76,3,85,1
35731.8,0,0,1.12,0.56,0.41,12,87,0
30237.5,0,0,4.91,0.44,0.78,18,35,0
27181.95,0,0,1.9,0.91,0.6,7,22,0
23154.09,1,0,5.9,0.53,0.63,14,59,1
29688.85,0,1,7.92,0.07,0.67,16,91,1
18784.32,0,0,1.13,0.85,0.92,0,45,0
11871.71,0,0,8.39,0.37,0.35,18,39,0
30433.93,0,0,2.14,0.8,0.62,2,62,0
20783.78,1,1,4.71,0.51,0.92,10,58,1
22676.73,0,0,5.03,0.45,0.92,16,28,0
29071.36,0,0,6.67,0.22,0.96,16,19,0
20789.74,0,1,5.07,0.62,0.11,22,50,1
10574.29,1,0,1.99,0.08,0.5,7,18,0
3378.86,1,0,5.29,0.47,0.43,5,50,0
7846.49,0,1,9.47,0.4,0.31,13,33,0
20495.84,0,0,7.19,0.68,0.08,22,66,0
11630.63,0,0,1.13,0.81,0.22,0,91,0
11985.32,0,0,7.25,0.86,0.84,3,36,0
7139.98,0,0,0.96,0.65,0.75,20,18,0
6226.57,1,0,7.07,0.92,0.64,10,1,0
18216.65,0,1,3.52,0.79,0.39,20,43,0
11053.58,1,0,1.23,0.59,0.99,22,95,1
21318.15,0,0,5.46,0.65,0.29,21,21,0
41763.02,1,0,1.8,0.31,0.07,17,84,0
40771.22,0,0,4.11,0.52,0.73,20,85,0
6930.59,1,1,6.01,0.62,0.68,6,9,1
45729.16,0,0,5.24,0.09,0.21,10,64,0
4231.65,0,0,3.95,0.32,0.39,16,58,0
14926.37,0,0,6.67,0.94,0.75,0,35,0
27038.15,0,1,8.48,0.96,0.2,8,25,1
23764.44,0,0,4.19,0.72,0.62,6,34,0
40973.21,1,0,2.79,0.61,0.39,11,58,0
45873.95,0,1,4.52,0.23,0.56,23,82,0
36638.02,1,0,6.95,0.86,0.29,11,14,1
34689.44,0,0,0.54,0.61,1.0,20,85,0
45782.87,0,0,3.04,0.93,0.97,22,92,0
23763.29,1,1,3.26,0.84,0.09,23,98,1
28077.79,0,1,5.35,0.47,0.43,6,14,1
40218.45,0,0,7.4,0.54,0.46,11,65,0
1317.6,1,0,8.76,0.55,0.94,2,38,1
573.32,0,0,0.47,0.51,0.6,11,9,0
4675.8,0,0,7.35,0.05,0.49,23,29,0
42655.81,1,0,2.84,0.91,0.09,14,48,0
19642.34,0,1,8.0,0.3,0.61,6,55,0
44221.53,0,1,9.89,0.76,0.11,7,19,1
41907.5,0,1,1.29,0.09,0.41,8,2,0
41327.66,1,0,2.24,0.54,0.62,16,60,0
13085.65,0,0,9.96,0.9,0.49,12,88,0
29687.7,0,0,8.79,0.3,0.17,8,66,0
47787.01,1,1,6.59,0.57,0.13,23,78,1
353.6,0,0,5.37,0.96,0.15,4,76,0
42575.23,0,0,5.96,0.83,0.38,1,39,1
28330.03,0,1,7.99,0.68,0.86,15,40,1
16767.04,0,1,1.15,0.71,0.23,4,44,0
43604.99,0,1,1.38,0.37,0.76,17,99,0
27853.47,1,0,2.01,0.13,0.36,8,16,0
5880.61,0,0,8.2,0.17,0.32,6,73,0
21668.82,1,0,1.88,0.77,0.8,19,95,1
38565.62,1,0,7.73,0.72,0.5,21,89,1
3827.25,1,1,6.79,0.47,0.67,19,75,1
1326.89,0,0,4.94,0.78,0.7,1,45,0
23480.12,1,0,8.56,0.55,0.83,10,31,1
4210.81,0,0,2.81,0.95,0.19,20,46,0
21044.39,0,0,2.81,0.98,0.44,5,14,0
37317.27,0,1,7.18,0.58,0.5,7,59,1
9357.72,1,0,7.73,0.85,0.77,2,92,1
6649.12,0,1,6.2,0.81,0.51,13,70,0
6346.77,0,0,2.09,0.52,0.11,21,1,0
39898.2,0,0,0.22,0.12,0.42,13,94,0
36122.19,0,0,9.53,0.91,0.74,18,87,1
7381.51,0,0,0.28,0.51,0.25,0,73,0
38812.66,1,0,5.39,0.89,0.13,12,25,1
19906.47,0,0,6.93,0.81,0.24,22,43,0
5317.94,0,0,0.41,0.94,0.1,8,75,0
43561.36,1,1,3.46,0.82,0.13,19,79,1
27424.86,1,0,6.47,0.55,0.75,10,81,1
3111.57,0,0,8.73,0.26,0.98,3,44,0
9187.68,1,0,5.03,0.58,0.73,21,36,0
49817.06,1,0,2.08,0.7,0.12,14,96,0
42038.58,0,1,4.22,0.85,0.65,11,19,0
25291.76,0,0,5.92,0.08,0.43,3,65,0
29926.41,1,0,9.92,0.32,0.39,2,17,1
31614.85,1,0,7.19,0.91,0.22,11,13,1
48572.62,0,1,4.97,0.28,0.88,14,13,0
25789.39,0,0,1.72,0.42,0.97,1,34,0
32871.16,0,0,1.4,0.97,0.48,10,9,0
3767.49,0,0,3.44,0.84,0.46,19,7,0
30895.53,1,0,1.76,0.08,0.75,4,75,1
23784.08,1,1,5.9,0.87,0.25,19,77,1
2948.63,0,1,0.49,0.17,0.48,20,58,0
15876.19,0,0,1.57,0.99,0.97,10,97,0
16224.22,1,0,2.62,0.55,0.38,5,83,0
6374.5,0,0,9.4,0.75,0.2,20,0,0
36568.39,0,0,9.64,0.29,0.68,22,89,0
18777.41,0,0,8.33,0.87,0.78,7,88,0
34507.38,0,0,6.62,0.42,0.67,1,63,0
2505.78,1,0,8.72,0.79,0.59,8,74,0
43937.93,0,0,6.71,0.82,0.77,8,22,1
21835.61,1,0,5.49,0.06,0.36,11,70,1
28215.6,0,0,6.01,0.57,0.47,5,89,0
29394.38,0,0,7.62,0.53,0.57,7,47,0
42373.65,1,1,1.18,0.19,0.55,14,43,1
23887.1,0,0,7.49,0.73,0.55,20,22,0
21600.02,1,0,9.55,0.67,0.41,3,20,1
24011.24,0,0,6.21,0.55,0.69,14,27,0
27004.15,0,0,7.19,0.31,0.44,10,6,0
34087.78,0,0,7.12,0.15,0.59,9,55,0
48150.05,0,1,5.55,0.09,0.65,12,21,1
40977.52,1,0,2.2,0.63,0.44,9,71,0
38520.24,0,0,3.09,0.75,0.86,6,73,0
40495.55,1,0,4.3,0.2,0.27,11,97,0
23697.31,0,0,3.19,0.27,0.25,10,9,0
12918.5,0,0,1.5,0.31,0.62,17,66,0
22191.58,0,0,0.26,0.37,0.83,3,89,0
16927.63,1,0,2.72,0.66,0.62,8,7,0
18411.11,0,0,4.48,0.84,0.69,11,26,0
32044.39,0,0,6.83,0.27,0.48,21,69,0
2711.71,0,0,9.96,0.47,0.37,21,43,0
4529.49,1,0,7.57,0.21,0.44,22,15,0
161.71,0,1,4.8,0.41,0.16,18,4,0
36885.29,1,0,6.75,0.14,0.29,7,31,1
6472.9,1,0,7.12,0.08,0.34,17,65,0
19107.39,0,0,5.15,0.83,0.32,3,81,0
25832.4,1,0,9.92,0.86,0.25,14,48,1
5906.68,1,0,8.79,0.87,0.82,15,6,1
15303.49,0,0,1.82,0.71,0.38,19,81,0
32084.51,1,0,8.63,0.93,0.51,13,79,1
38264.01,0,0,4.05,0.19,0.4,7,20,0
1388.01,0,1,5.54,0.97,0.46,12,30,0
25356.48,0,0,6.44,0.26,0.64,22,82,0
19384.4,0,0,2.2,0.51,0.77,23,78,0
49185.58,0,0,1.3,0.34,0.15,15,15,0
3208.36,0,1,8.16,0.63,0.34,19,35,0
26399.37,0,0,8.88,0.48,0.23,6,26,0
20765.07,1,0,7.72,0.06,0.45,20,78,1
29149.2,0,0,6.23,0.36,0.84,12,84,0
10022.93,0,0,3.78,0.3,0.66,20,51,0
13374.36,0,0,8.66,0.28,0.67,2,92,0
19784.37,0,0,8.93,0.96,0.8,8,40,0
34437.92,0,0,8.42,0.09,0.91,20,27,0
31896.35,0,1,6.4,0.63,0.11,23,44,1
7593.43,1,0,6.83,0.09,0.13,10,0,0
3697.01,0,0,9.57,0.75,0.39,13,99,0
17550.19,1,0,1.93,0.22,0.14,21,95,0
3528.77,0,0,5.2,0.9,0.79,7,24,0
48801.94,0,0,2.63,0.3,0.12,22,61,0
44801.15,0,0,4.8,0.16,0.51,15,31,0
30863.34,0,0,1.2,0.62,0.14,7,58,0
27549.59,0,0,2.81,0.93,0.69,18,45,0
734.47,1,0,3.24,0.89,0.3,14,17,0
31839.93,0,1,7.51,0.58,0.22,10,85,1
37684.05,0,0,7.31,0.15,0.7,19,26,0
48259.97,0,0,3.49,0.44,0.77,0,55,0
30635.83,0,0,1.03,0.6,0.88,4,7,0
23131.72,0,0,7.29,0.99,0.14,9,97,0
10281.38,0,0,6.2,0.23,0.39,12,8,0
27755.9,0,0,0.45,0.76,0.24,1,52,0
18460.24,0,0,3.13,0.88,1.0,3,3,0
36131.34,1,0,3.98,0.44,0.71,20,73,0
31017.51,0,0,1.02,0.61,0.51,13,2,0
3336.19,0,0,5.65,0.62,0.69,17,18,0
13564.05,1,0,0.86,0.11,0.37,5,30,0
41274.02,0,0,1.31,0.75,0.27,19,91,0
36809.59,1,1,6.46,0.45,0.65,15,46,1
6004.98,0,1,3.9,0.59,0.61,19,60,1
48984.37,0,0,5.9,0.61,0.71,12,50,0
47039.89,0,0,8.74,0.85,0.23,16,20,0
22963.53,0,0,0.9,0.74,0.52,0,23,0
36502.46,1,0,6.14,0.18,0.76,23,88,1
47835.07,0,0,2.89,0.3,0.28,13,9,0
13670.29,1,0,7.79,0.11,0.51,23,83,0
31023.0,0,0,3.22,0.78,0.13,14,81,0
36649.19,0,0,8.83,0.42,0.84,23,13,0
36567.97,1,0,6.58,0.24,0.59,18,88,1
47357.1,1,0,0.32,0.73,0.45,6,85,0
28105.02,0,0,8.62,0.74,0.11,21,48,0
27222.56,0,0,4.9,0.21,0.95,15,56,0
33484.21,0,0,6.54,0.57,0.11,7,37,0
40339.54,0,0,7.88,0.24,0.3,19,25,0
16577.73,1,0,2.13,0.88,0.89,13,26,0
47337.23,0,0,5.62,0.57,0.14,2,71,0
14193.3,0,0,3.78,0.48,0.43,10,18,0
22109.5,0,0,1.03,0.39,0.77,4,84,0
15686.22,0,0,8.98,0.54,0.48,5,11,0
8385.11,0,0,8.98,0.21,0.53,0,7,0
44710.09,0,0,4.46,0.63,0.13,8,11,1
37012.54,0,1,4.91,0.17,0.74,1,3,1
49854.2,1,0,1.39,0.7,0.14,3,24,1
41165.63,0,0,9.74,0.37,0.33,5,49,0
5626.35,1,1,9.02,0.67,0.35,23,97,1
40980.83,1,0,2.52,0.16,0.13,0,84,0
21063.92,1,0,1.99,0.63,0.46,21,16,0
42088.23,0,1,6.38,0.17,0.69,1,98,0
34347.73,0,0,8.57,0.27,0.85,22,62,0
17084.97,1,0,3.67,0.12,0.77,20,45,0
37986.51,1,0,8.09,0.11,0.9,18,96,1
43723.91,0,0,3.96,0.41,0.27,20,71,0
6529.55,0,1,4.84,0.07,0.45,13,25,0
48315.55,0,0,9.73,0.83,0.71,19,44,1
48144.24,1,0,8.31,0.32,0.88,13,37,1
6100.34,0,0,0.56,0.59,0.32,13,74,0
3804.62,0,0,6.03,0.11,0.88,1,85,0
44625.89,0,0,2.47,0.8,0.08,2,10,0
49772.33,1,0,0.73,0.84,0.62,0,72,1
45490.38,0,1,8.8,0.59,0.54,14,39,1
15915.63,0,0,6.06,0.9,0.47,7,20,0
31602.25,0,0,2.45,0.54,0.15,21,75,0
24434.59,0,1,6.05,0.76,0.53,22,37,1
3639.52,0,0,4.78,0.09,0.18,9,64,0
22578.22,0,0,4.75,0.48,0.5,16,12,0
26896.67,1,0,8.35,0.85,0.32,6,84,1
21983.07,0,0,0.54,0.31,0.83,16,40,0
40928.51,0,1,5.79,0.08,0.69,13,18,1
22584.79,1,0,3.96,0.74,0.89,20,11,1
33762.93,0,0,9.54,0.74,0.87,13,86,1
35906.85,1,0,8.73,0.29,0.68,0,35,1
18515.75,0,0,7.54,0.12,0.13,14,40,0
47092.11,0,0,3.68,0.61,0.06,17,50,0
45673.02,0,1,7.27,0.16,0.91,5,2,1
26744.98,0,0,4.28,0.33,0.51,12,78,1
2282.58,0,0,3.5,0.74,0.67,20,53,0
42606.88,0,0,5.47,0.87,0.61,11,97,0
19273.56,0,0,7.62,0.14,0.9,21,99,0
19709.41,0,0,1.74,0.66,0.09,0,64,0
47337.56,0,0,3.85,0.06,0.42,10,48,0
5152.87,1,0,8.43,0.6,0.58,3,49,0
24330.93,0,0,9.64,0.41,0.09,21,63,0
20766.1,0,0,1.56,0.51,0.17,4,41,0
18802.7,0,0,9.95,0.57,0.13,14,16,0
19337.04,0,0,1.63,0.58,0.56,21,52,0
41699.13,0,0,2.67,0.23,0.1,13,20,0
48324.23,0,0,5.85,0.18,0.47,14,97,0
24496.0,0,1,8.82,0.64,0.59,18,36,1
36567.82,0,1,7.14,0.91,0.18,20,97,1
36134.95,0,1,1.39,0.8,0.17,16,55,0
13860.8,1,1,1.57,0.49,0.98,11,51,0
43191.02,0,0,2.93,0.24,0.77,14,26,0
25612.65,0,0,8.67,0.98,0.44,18,46,1
38249.94,0,1,2.08,0.15,0.86,16,80,0
42363.75,1,0,8.85,0.48,0.53,13,60,1
46326.49,0,0,6.91,0.74,0.71,9,63,1
15039.84,0,1,2.86,0.25,0.96,14,34,0
49891.26,0,1,3.02,0.06,0.75,4,0,1
3544.57,0,1,8.24,0.82,0.89,2,65,1
5309.77,0,0,2.88,0.7,0.07,10,98,0
27501.6,0,0,7.01,0.06,0.15,5,15,0
34119.26,0,1,2.5,0.5,0.19,12,55,0
14835.0,0,0,8.05,0.93,0.43,21,92,0
29204.55,1,0,2.27,0.08,0.25,18,56,0
38004.61,0,0,8.68,0.48,0.83,21,51,0
31890.83,0,0,2.42,0.34,0.33,3,76,0
45847.91,1,0,1.67,0.89,0.83,10,75,1
20182.09,0,0,7.85,0.73,0.61,16,86,0
29205.0,0,0,9.41,0.13,0.93,0,18,1
28292.72,1,0,9.08,0.95,0.45,5,55,1
48207.51,0,0,4.99,0.42,0.65,23,54,0
317.73,0,0,6.7,0.97,0.77,16,67,0
35156.77,0,0,7.84,0.66,0.1,4,47,0
19317.49,1,0,1.2,0.65,0.78,8,70,0
38401.62,0,1,8.52,0.25,0.67,10,53,1
44019.82,0,0,6.12,0.33,0.18,6,35,0
36956.01,0,0,4.01,0.73,0.24,3,20,0
14441.74,0,0,1.2,0.54,0.3,20,73,0
833.2,0,0,0.29,0.17,0.44,2,16,1
45312.69,0,0,8.79,0.09,0.43,0,83,0
22800.45,0,0,1.4,0.86,0.6,9,58,0
19190.76,0,0,4.41,0.37,0.37,22,57,0
11240.84,0,0,5.72,0.68,0.57,3,50,0
1277.39,1,0,7.83,0.49,0.43,3,66,0
35535.76,1,0,4.79,0.11,0.69,3,89,0
49511.42,0,0,6.54,0.66,0.58,21,16,0
11346.53,0,0,6.26,0.79,0.6,10,76,0
40575.08,0,0,6.77,0.3,0.38,19,87,0
36276.56,0,0,6.93,0.71,0.93,19,51,1
11589.52,0,0,3.09,0.77,0.39,20,45,0
3904.34,0,1,4.65,0.57,0.46,2,93,0
43211.68,0,1,6.78,0.18,1.0,17,10,1
19653.73,0,0,6.4,0.52,0.44,11,10,0
23002.28,1,0,2.22,0.06,0.06,11,28,0
45404.15,1,1,5.26,0.98,0.77,12,7,1
38677.14,0,0,4.64,0.79,0.96,17,85,0
42774.83,0,1,7.87,0.41,0.57,10,84,1
11181.59,0,1,7.32,0.14,0.46,2,12,0
122.09,1,0,9.9,0.96,0.52,6,66,0
19683.66,1,1,9.51,0.6,0.39,17,44,1
12624.97,0,0,6.6,0.28,0.23,12,19,0
5180.0,0,0,0.49,0.08,0.22,1,40,0
47527.91,0,0,5.84,0.54,0.77,18,59,0
21562.13,1,1,4.07,0.77,0.83,19,14,1
27270.84,0,0,3.03,0.61,0.08,13,90,1
3543.48,1,0,4.15,0.82,0.84,3,97,0
38717.92,0,1,5.21,0.49,0.09,19,22,1
46557.4,0,0,5.37,0.61,0.11,5,56,0
48656.6,0,0,3.11,0.27,0.05,14,67,0
48345.59,0,0,7.44,0.86,0.45,17,29,0
16332.23,1,1,1.9,0.4,0.91,21,99,0
49244.43,1,0,5.95,0.68,0.12,9,73,1
1131.5,0,0,2.76,0.65,0.51,16,67,0
47465.51,0,0,5.64,0.79,0.72,18,35,1
48623.76,0,0,1.88,0.14,0.81,14,22,0
6343.75,1,0,0.41,0.1,0.19,5,5,0
33290.8,0,0,7.67,0.69,0.46,0,80,0
19087.83,0,0,7.37,0.42,0.07,19,34,0
669.76,1,1,4.43,0.27,0.72,18,5,0
27366.87,1,0,5.1,0.73,0.87,12,63,1
35749.1,1,0,8.81,0.82,0.69,11,22,1
15895.83,1,0,0.8,0.35,0.94,17,15,0
49097.09,0,0,1.71,0.23,0.07,20,74,0
9652.24,0,1,4.36,0.88,0.63,23,58,0
17857.15,0,0,6.81,0.12,0.25,6,67,0
49104.27,1,0,1.25,0.79,0.8,23,19,0
13964.85,0,0,9.81,0.11,0.54,16,65,0
48536.76,0,0,7.41,0.72,0.45,16,75,0
3794.71,0,0,7.43,0.65,0.57,5,21,0
7282.7,0,0,9.26,0.11,0.46,19,18,0
31220.07,0,0,0.25,0.97,0.29,9,72,0
35360.83,0,0,2.78,0.62,0.87,0,82,0
5384.7,0,1,7.39,0.89,0.24,21,99,0
35086.87,0,0,0.25,0.6,0.29,3,82,0
47883.29,0,1,1.97,0.69,0.98,16,73,0
515.17,0,0,7.51,0.92,0.46,14,3,0
21776.73,1,0,5.94,0.63,0.66,9,49,1
35731.23,0,0,8.79,0.75,0.06,0,68,0
3949.54,1,0,4.31,0.25,0.62,15,81,0
18672.8,0,1,3.89,0.52,0.32,23,45,0
19932.66,0,0,9.88,0.33,0.78,16,72,0
10390.25,1,0,8.67,0.92,0.87,17,55,1
39389.93,0,1,6.42,0.84,0.52,17,36,1
39220.97,0,0,7.87,0.62,0.24,21,6,0
2903.19,0,1,1.14,0.78,0.44,17,0,0
46208.94,0,0,7.89,0.95,0.76,2,46,1
34288.2,0,0,3.17,0.29,0.54,22,24,0
17908.61,0,1,7.91,0.34,0.92,4,35,1
31647.61,0,0,2.39,0.35,0.91,5,34,0
17509.61,0,0,8.86,0.38,0.49,21,72,0
8102.23,0,0,6.97,0.27,0.16,16,84,0
35965.11,1,0,1.7,0.13,0.07,10,31,0
44553.69,0,0,1.14,0.26,0.54,10,77,0
8429.86,0,0,3.42,0.76,0.59,10,8,0
20847.18,0,0,6.99,0.72,0.21,17,97,0
20656.71,1,0,5.37,0.16,0.63,6,87,1
34634.47,0,0,8.97,0.24,0.53,20,64,0
1004.39,1,0,4.8,0.58,0.65,15,24,0
36592.69,0,0,4.7,0.88,0.24,11,50,0
14346.89,0,0,8.22,0.43,0.51,10,52,0
20545.99,0,0,2.88,0.25,0.09,5,75,0
9167.99,1,1,5.5,0.98,0.48,12,44,1
49461.97,0,1,0.52,0.47,0.12,13,63,0
30459.61,1,0,3.76,0.09,0.38,10,1,0
33118.05,0,0,8.06,0.78,0.57,3,7,1
21360.94,0,0,3.57,0.69,0.77,2,82,0
31061.64,1,0,2.03,0.9,0.76,16,15,1
37959.89,0,0,8.9,0.6,0.65,9,75,0
23748.67,1,0,2.1,0.35,0.28,1,93,0
43445.12,1,0,5.62,0.61,0.18,18,89,1
22593.74,1,0,5.54,0.56,0.65,2,93,1
11329.59,0,1,4.68,0.31,0.67,6,21,0
3250.7,1,1,4.67,0.98,0.8,4,83,1
18480.53,0,0,2.67,0.08,0.89,2,78,0
27911.12,0,0,3.3,0.9,0.89,7,28,0
21877.34,0,0,7.51,0.82,0.72,5,47,1
41349.94,1,1,8.03,0.69,0.06,2,94,1
2113.51,0,0,0.32,0.39,0.79,10,29,0
15707.62,0,0,0.24,0.78,0.64,3,31,0
6718.96,0,0,9.39,0.44,0.43,18,24,0
3559.48,0,0,6.79,0.18,0.6,15,82,0
43433.7,0,0,6.22,0.65,0.5,20,11,0
24757.97,1,0,9.41,0.53,0.95,17,26,1
33908.83,0,1,1.76,0.53,0.71,8,53,0
13836.88,0,0,6.03,0.22,0.72,21,46,0
22700.26,1,0,6.89,0.07,0.21,14,11,1
22798.13,0,1,6.43,0.96,0.89,1,36,1
41706.22,0,0,7.43,0.14,0.61,19,7,0
3419.73,0,1,6.2,0.28,0.71,10,6,0
25128.63,1,0,3.82,0.81,0.89,8,34,1
10107.59,0,0,6.07,0.64,0.94,20,93,0
6484.05,0,0,4.02,0.69,0.9,18,10,1
39491.53,0,0,4.8,0.1,0.95,19,14,0
7449.05,1,0,9.68,0.47,0.31,7,10,0
16380.07,0,0,1.38,0.29,0.39,12,95,0
48771.13,0,1,7.79,0.12,0.99,23,86,1
5019.29,1,0,6.21,0.2,0.5,9,39,0
15250.83,0,0,1.83,0.88,0.47,9,56,0
35787.8,0,0,1.99,0.38,0.57,11,39,0
33243.67,0,0,1.35,0.58,0.78,7,19,0
889.58,0,0,6.59,0.58,0.7,6,98,0
40005.92,0,0,4.22,0.54,0.91,12,80,0
40911.03,0,0,5.18,0.88,0.43,6,71,0
18671.45,0,0,5.75,0.23,0.31,2,97,1
45169.22,0,0,5.63,0.4,0.8,2,9,1
18432.8,0,0,8.47,0.81,0.22,8,30,0
10988.56,1,0,2.71,0.05,0.88,17,48,0
31403.71,1,0,4.64,0.38,0.14,7,90,0
2098.95,0,0,2.46,0.91,0.49,16,27,0
38052.72,0,0,4.36,0.62,1.0,17,92,0
35435.28,0,0,7.65,0.09,0.66,18,14,0
45539.23,0,0,0.6,0.08,0.57,19,8,1
41975.1,0,0,4.55,0.28,0.1,0,77,0
45756.8,0,1,6.99,0.63,0.24,18,10,1
28466.4,0,0,5.61,0.86,0.84,23,5,0
18357.7,0,0,4.37,0.13,0.32,18,10,0
14696.57,0,0,0.51,0.66,0.62,5,18,0
9696.26,0,0,6.04,0.53,0.38,16,42,0
17054.54,0,0,5.48,0.38,0.46,18,57,0
13978.64,0,0,8.51,0.13,0.99,0,62,0
49243.8,1,0,2.07,0.21,0.28,23,75,0
13720.2,0,0,9.14,0.23,0.05,21,72,0
37583.74,1,0,9.05,0.83,0.77,15,14,1
23173.32,1,0,7.2,0.86,0.39,11,86,1
14824.11,0,0,4.46,0.74,0.94,20,88,0
